year,single_or_two_family_houses,multi_family_houses,dormitories_hostels,non_residential_buildings
2003,192689,69855,804,4241
2004,166857,68457,577,4050
2005,145291,65072,1307,3598
2006,145847,69653,811,4124
2007,94697,61131,1312,3829
2008,88307,58535,1433,3366
2009,90057,61674,2409,3256
2010,94679,66943,3007,3150
2011,111260,84913,3957,4653
2012,106410,96177,8568,3898
2013,109764,117666,8057,4812
2014,107320,128062,10607,5150
2015,115457,136961,11928,3737
2016,118399,173465,24972,6475
2017,113019,172630,15046,5296
2018,110647,180667,11439,5935
2019,112232,188478,10446,6725
2020,118798,189256,12171,6904
2021,126087,193647,8902,7942
2022,105838,190442,8310,6429
2023,61954,142570,9564,5473
2024,50667,114227,7247,4327
2025,57046,128051,9103,3880
