bundesland,share_of_population_pct,note
Baden-Wuerttemberg,20,over 1 million landlord households
Rheinland-Pfalz,19,
Bayern,17,over 1 million landlord households
Hessen,16,
Schleswig-Holstein,14,
Sachsen,7,eastern state - lower range 7-8%
Brandenburg,7,eastern state - lower range 7-8%
Thueringen,7,eastern state - lower range 7-8%
Sachsen-Anhalt,7,eastern state - lower range 7-8%
Mecklenburg-Vorpommern,7,eastern state - lower range 7-8%
Berlin,7,city-state
Hamburg,9,city-state
Bremen,6,city-state
