year,households_estimate,share_of_population_pct_estimate,confidence
2000,3650000,10.0,visual_estimate
2001,3600000,10.0,visual_estimate
2002,3700000,10.0,visual_estimate
2003,3600000,9.5,visual_estimate
2004,3650000,10.0,visual_estimate
2005,3850000,10.0,visual_estimate
2006,3850000,10.0,visual_estimate
2007,3850000,10.0,visual_estimate
2008,3900000,10.0,visual_estimate
2009,3850000,10.0,visual_estimate
2010,3700000,10.0,stated_in_text
2011,4000000,10.5,visual_estimate
2012,4150000,11.0,visual_estimate
2013,4300000,11.5,visual_estimate
2014,4250000,11.0,visual_estimate
2015,4150000,10.5,visual_estimate
2016,4350000,11.5,visual_estimate
2017,4600000,12.0,stated_in_text
2018,4850000,12.0,visual_estimate
2019,5100000,13.0,stated_in_text
2020,5150000,12.5,visual_estimate
2021,5300000,13.5,visual_estimate
2022,5500000,13.0,stated_in_text
