scoutId,regio1,regio2,regio3,geo_plz,baseRent,totalRent,serviceCharge,heatingCosts,livingSpace,noRooms,yearConstructed,condition,typeOfFlat,energyEfficiencyClass,heatingType,pricetrend,newlyConst,balcony,lift,cellar,garden,hasKitchen,date
106173037,Bremen,Bremen,Sebaldsbrück,28329,770.0,990.0,110.0,110.0,107.0,4.0,1982.0,fully_renovated,apartment,NO_INFORMATION,oil_heating,2.78,False,True,False,True,False,False,Sep18
107317860,Nordrhein_Westfalen,Essen,Katernberg,45327,440.0,660.0,140.0,80.0,71.0,3.0,2011.0,well_kept,ground_floor,,district_heating,3.23,False,True,False,True,False,False,Sep18
114801617,Sachsen,Chemnitz,Bernsdorf,9126,375.0,535.0,160.0,,70.0,3.0,1959.0,well_kept,apartment,C,central_heating,0.38,False,True,False,False,True,True,Feb20
113912910,Sachsen,Leipzig,Altlindenau,4177,1195.0,1745.0,550.0,,175.0,4.0,1900.0,fully_renovated,apartment,B,,4.15,False,True,True,False,False,False,Feb20
113091086,Nordrhein_Westfalen,Heinsberg_Kreis,Wegberg,41844,450.0,540.0,90.0,,70.0,3.0,1986.0,fully_renovated,apartment,D,self_contained_central_heating,2.99,False,True,False,True,False,False,Oct19
107346228,Berlin,Berlin,Tiergarten_Tiergarten,10553,491.5,629.0,137.5,,67.42,2.0,,,roof_storey,,,11.22,False,False,False,True,False,True,Sep18
111325121,Hamburg,Hamburg,Lokstedt,22529,1390.0,1640.0,250.0,,102.0,3.0,1950.0,refurbished,roof_storey,,gas_heating,6.19,False,True,False,True,False,True,May19
115266862,Bayern,Würzburg_Kreis,Kürnach,97273,700.0,,200.0,,89.0,3.0,2011.0,well_kept,,,,4.4,False,True,True,False,False,True,Feb20
111049917,Nordrhein_Westfalen,Minden_Lübbecke_Kreis,Lübbecke,32312,409.0,,257.0,96.0,74.0,3.0,1968.0,,apartment,F,central_heating,3.35,False,True,False,True,False,False,May19
111419168,Nordrhein_Westfalen,Düsseldorf,Eller,40231,590.06,,160.0,,68.91,3.0,1926.0,well_kept,ground_floor,D,central_heating,4.79,False,False,False,False,True,False,May19
109360104,Sachsen,Chemnitz,Kaßberg,9112,280.0,405.0,125.0,,53.25,2.0,,well_kept,apartment,,district_heating,0.72,False,False,True,False,False,False,Feb20
113604221,Nordrhein_Westfalen,Hagen,Boele,58099,1800.0,2100.0,200.0,100.0,180.0,6.0,,mint_condition,,,,1.17,False,True,False,True,True,True,Oct19
111353119,Nordrhein_Westfalen,Düsseldorf,Pempelfort,40211,335.0,410.0,75.0,,28.0,1.0,1956.0,fully_renovated,apartment,E,self_contained_central_heating,5.1,False,False,False,False,False,True,May19
