property_id,month,occupancy,rent_collected,nebenkosten_collected,nebenkosten_spent,maintenance_spike,mortgage_emi,total_income,total_expenses_ex_emi,net_cashflow
P01,2025-09,Occupied,782.0,201.21,181.91,0.0,730.81,983.21,294.13,-41.73
P01,2025-10,Occupied,782.0,201.21,182.75,381.11,730.81,983.21,676.08,-423.68
P01,2025-11,Occupied,782.0,201.21,200.33,418.05,730.81,983.21,730.6,-478.2
P01,2025-12,Occupied,782.0,201.21,227.88,639.34,730.81,983.21,979.44,-727.04
P01,2026-01,Occupied,782.0,201.21,214.11,0.0,730.81,983.21,326.33,-73.93
P01,2026-02,Occupied,782.0,201.21,222.77,555.26,730.81,983.21,890.25,-637.85
P01,2026-03,Occupied,782.0,201.21,211.62,0.0,730.81,983.21,323.84,-71.44
P01,2026-04,Occupied,782.0,201.21,190.13,0.0,730.81,983.21,302.35,-49.95
P01,2026-05,Occupied,782.0,201.21,226.64,0.0,730.81,983.21,338.86,-86.46
P01,2026-06,Occupied,782.0,201.21,183.34,0.0,730.81,983.21,295.56,-43.16
P01,2026-07,Occupied,782.0,201.21,214.05,0.0,730.81,983.21,326.27,-73.87
P01,2026-08,Occupied,782.0,201.21,195.27,0.0,730.81,983.21,307.49,-55.09
P02,2025-09,Occupied,367.2,162.99,163.3,0.0,212.14,530.19,235.14,82.91
P02,2025-10,Occupied,367.2,162.99,155.07,0.0,212.14,530.19,226.91,91.14
P02,2025-11,Occupied,367.2,162.99,158.01,0.0,212.14,530.19,229.85,88.2
P02,2025-12,Occupied,367.2,162.99,141.97,0.0,212.14,530.19,213.81,104.24
P02,2026-01,Occupied,367.2,162.99,138.83,0.0,212.14,530.19,210.67,107.38
P02,2026-02,Occupied,367.2,162.99,182.81,0.0,212.14,530.19,254.65,63.4
P02,2026-03,Occupied,367.2,162.99,178.81,0.0,212.14,530.19,250.65,67.4
P02,2026-04,Occupied,367.2,162.99,151.41,0.0,212.14,530.19,223.25,94.8
P02,2026-05,Occupied,367.2,162.99,141.62,0.0,212.14,530.19,213.46,104.59
P02,2026-06,Occupied,367.2,162.99,177.12,0.0,212.14,530.19,248.96,69.09
P02,2026-07,Occupied,367.2,162.99,174.46,370.18,212.14,530.19,616.48,-298.43
P02,2026-08,Occupied,367.2,162.99,156.07,0.0,212.14,530.19,227.91,90.14
P03,2025-09,Occupied,1230.0,208.66,180.77,596.03,1285.81,1438.66,931.29,-778.44
P03,2025-10,Occupied,1230.0,208.66,217.56,333.63,1285.81,1438.66,705.68,-552.83
P03,2025-11,Occupied,1230.0,208.66,223.57,0.0,1285.81,1438.66,378.06,-225.21
P03,2025-12,Occupied,1230.0,208.66,215.65,0.0,1285.81,1438.66,370.14,-217.29
P03,2026-01,Occupied,1230.0,208.66,195.54,160.64,1285.81,1438.66,510.67,-357.82
P03,2026-02,Occupied,1230.0,208.66,224.91,492.56,1285.81,1438.66,871.96,-719.11
P03,2026-03,Occupied,1230.0,208.66,223.68,0.0,1285.81,1438.66,378.17,-225.32
P03,2026-04,Occupied,1230.0,208.66,187.94,0.0,1285.81,1438.66,342.43,-189.58
P03,2026-05,Occupied,1230.0,208.66,223.32,0.0,1285.81,1438.66,377.81,-224.96
P03,2026-06,Occupied,1230.0,208.66,193.5,0.0,1285.81,1438.66,347.99,-195.14
P03,2026-07,Occupied,1230.0,208.66,209.48,0.0,1285.81,1438.66,363.97,-211.12
P03,2026-08,Occupied,1230.0,208.66,197.32,0.0,1285.81,1438.66,351.81,-198.96
P04,2025-09,Occupied,582.2,178.83,198.16,0.0,367.98,761.03,302.6,90.45
P04,2025-10,Occupied,582.2,178.83,163.7,0.0,367.98,761.03,268.14,124.91
P04,2025-11,Vacant,0.0,0.0,199.04,0.0,367.98,0.0,274.37,-642.35
P04,2025-12,Vacant,0.0,0.0,168.15,240.48,367.98,0.0,483.96,-851.94
P04,2026-01,Occupied,582.2,178.83,159.71,0.0,367.98,761.03,264.15,128.9
P04,2026-02,Occupied,582.2,178.83,180.09,0.0,367.98,761.03,284.53,108.52
P04,2026-03,Occupied,582.2,178.83,185.64,0.0,367.98,761.03,290.08,102.97
P04,2026-04,Occupied,582.2,178.83,189.42,0.0,367.98,761.03,293.86,99.19
P04,2026-05,Occupied,582.2,178.83,167.35,639.67,367.98,761.03,911.46,-518.41
P04,2026-06,Occupied,582.2,178.83,161.33,0.0,367.98,761.03,265.77,127.28
P04,2026-07,Occupied,582.2,178.83,186.81,0.0,367.98,761.03,291.25,101.8
P04,2026-08,Occupied,582.2,178.83,169.24,0.0,367.98,761.03,273.68,119.37
P05,2025-09,Occupied,408.0,138.7,123.18,0.0,252.56,546.7,201.07,93.07
P05,2025-10,Occupied,408.0,138.7,148.83,0.0,252.56,546.7,226.72,67.42
